bi1	bi2	KC=3	KC=5	KC=7
0.25	0.25	0.061329415	0.099863618	0.101996679
0.5	0.25	0.088533277	0.023300639	0.096601873
0.75	0.25	0.195684789	0.005187054	0.084769425
1	0.25	0.202302863	0.152794864	0.364721377
1.25	0.25	0.165960062	0.206592422	0.291559584
1.5	0.25	0.171710136	0.21951408	0.416121057
1.75	0.25	0.185191681	0.368406161	0.366642251
2	0.25	0.185406074	0.406901277	0.370417278
2.25	0.25	0.167357085	0.394577704	0.463107558
2.5	0.25	0.176545289	0.354521204	0.503765358
2.75	0.25	0.177177996	0.373207639	0.534319596
3	0.25	0.162439951	0.349274335	0.494275307
3.25	0.25	0.162312501	0.371368215	0.525230871
3.5	0.25	0.16888837	0.381314646	0.573044414
3.75	0.25	0.159869063	0.457769591	0.548634255
4	0.25	0.144230165	0.421458604	0.496063067
0.25	0.5	0.069973579	0.016972839	0.001012368
0.5	0.5	0.106693201	0.098508576	0.031493394
0.75	0.5	0.098516797	0.066651216	0.077390644
1	0.5	0.115606359	0.035513961	0.163571036
1.25	0.5	0.12529713	0.13436552	0.12394979
1.5	0.5	0.123742361	0.163408566	0.220501143
1.75	0.5	0.121187913	0.071618541	0.153009226
2	0.5	0.112321183	0.216262509	0.230507498
2.25	0.5	0.131613628	0.238285042	0.351611237
2.5	0.5	0.132882106	0.285919387	0.219626039
2.75	0.5	0.125736141	0.218958116	0.260681773
3	0.5	0.113218388	0.179788688	0.370026926
3.25	0.5	0.126553272	0.225902345	0.434118669
3.5	0.5	0.122976866	0.216614239	0.344699888
3.75	0.5	0.106328333	0.18501058	0.285177349
4	0.5	0.116990964	0.234745799	0.365152744
0.25	0.75	0.106420387	0.058910387	0.035676469
0.5	0.75	0.086324468	0.089052277	0.053391622
0.75	0.75	0.064731985	0.103586098	0.018356491
1	0.75	0.083156328	0.024171823	0.043109584
1.25	0.75	0.090189845	0.068193697	0.015842493
1.5	0.75	0.093563495	0.015410478	0.198971798
1.75	0.75	0.111274436	0.112578156	0.09483223
2	0.75	0.122025039	0.118615427	0.194001624
2.25	0.75	0.122464928	0.09497181	0.139335583
2.5	0.75	0.113824834	0.128998288	0.159802409
2.75	0.75	0.108460368	0.084099045	0.143196685
3	0.75	0.119538754	0.07241637	0.187407112
3.25	0.75	0.116856574	0.114647866	0.158086752
3.5	0.75	0.105070422	0.07986693	0.194931629
3.75	0.75	0.10591226	0.139516347	0.317802415
4	0.75	0.110662571	0.095800919	0.244542322
0.25	1	0.022865264	0.034719029	0.071930435
0.5	1	0.049451609	0.036616514	0.121649763
0.75	1	0.059685609	0.072999798	0.150461623
1	1	0.072988714	0.106993156	0.128577829
1.25	1	0.079940743	0.035470953	0.0826755
1.5	1	0.085927197	0.036871478	0.055250221
1.75	1	0.091079593	0.029729545	0.020099097
2	1	0.092280691	0.051549782	0.052703804
2.25	1	0.089877604	0.082552592	0.1589473
2.5	1	0.099608847	0.069370706	0.148606923
2.75	1	0.104956092	0.075337234	0.051213622
3	1	0.099730256	0.089048794	0.096917045
3.25	1	0.089329298	0.05606513	0.013051815
3.5	1	0.094577808	0.078018507	0.150999093
3.75	1	0.096827796	0.063458233	0.166277325
4	1	0.091980838	0.035482829	0.10586102
0.25	1.25	0.131097916	0.048577545	0.092046904
0.5	1.25	0.044388668	0.078466898	0.061402726
0.75	1.25	0.039176504	0.060492326	0.199250662
1	1.25	0.051227434	0.010152872	0.130696833
1.25	1.25	0.050627156	0.028096748	0.008186197
1.5	1.25	0.056442205	0.02714207	0.115601317
1.75	1.25	0.065286548	0.01867688	0.113774508
2	1.25	0.073465616	0.065940916	0.158616549
2.25	1.25	0.078310366	0.073059299	0.004871634
2.5	1.25	0.078503728	0.083593384	0.035964401
2.75	1.25	0.07198659	0.06708929	0.1206412
3	1.25	0.069006175	0.068923293	0.014072191
3.25	1.25	0.079027631	0.060450994	0.086188351
3.5	1.25	0.080461518	0.09854219	0.118499138
3.75	1.25	0.072851175	0.095695444	0.140832784
4	1.25	0.063117617	0.063160089	0.09075303
0.25	1.5	0.325581944	0.242300907	0.044414519
0.5	1.5	0.106011453	0.179588679	0.062056331
0.75	1.5	0.02317601	0.09294751	0.075507874
1	1.5	0.027660336	0.026435013	0.053024886
1.25	1.5	0.021047005	0.013757589	0.041901238
1.5	1.5	0.027290376	0.038699571	0.105685216
1.75	1.5	0.035797735	0.008299766	0.023738225
2	1.5	0.039172176	0.031246668	0.105707025
2.25	1.5	0.041542822	0.040061165	0.017093732
2.5	1.5	0.047871162	0.042890101	0.033461473
2.75	1.5	0.057123301	0.017892629	0.082189455
3	1.5	0.05942654	0.051231002	0.075280077
3.25	1.5	0.057473484	0.079322969	0.008390758
3.5	1.5	0.048644964	0.00034558	0.073636332
3.75	1.5	0.048620491	0.105100224	0.008411322
4	1.5	0.057660066	0.043017626	0.098733276
0.5	1.75	0.157311407	0.054166687	0.041058102
