Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9442477,0.9957129,0.93718374,0.9900254,1.0941272,1.0918888,2.9755595,3.0776262,1.0015775,0.076051824,0.07162561,0.08225287,0.29668444
2.1453176,1.9158545,2.1612663,1.9407557,2.439525,2.1458073,6.746114,6.0024185,2.0018463,0.0780856,0.097887024,0.10253058,0.91519725
3.2100453,2.8622918,3.1804087,2.7582889,3.4668298,3.155047,9.857288,8.775619,3.0016527,0.08379505,0.056844484,0.047410496,1.5781813
4.3496337,3.679248,4.333664,3.6735861,4.699055,4.176044,13.3823595,11.528869,4.0005593,0.0580624,0.088546075,0.06965345,2.3373208
5.1798997,4.3426013,5.5565186,4.4952874,5.9997983,5.1537647,16.736229,13.991639,5.00194,0.019068435,0.069241755,0.090582855,3.1487048
6.1795797,5.3092813,6.489062,5.3359437,7.136918,6.1121554,19.805597,16.757357,6.001905,0.11202329,0.06344433,0.07058447,3.953294
7.3341637,6.1271677,7.621433,6.201795,8.300332,7.1119356,23.255938,19.440868,7.0002217,0.12696363,0.039091464,0.066737056,4.773061
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,1.25,1.75,32,40L,40L,8.0L,2.0
