Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61498284,1.035312,0.7592946,0.8642391,1.0119927,1.1286988,2.386271,3.0282502,1.0008612,0.2013366,0.19182266,0.2818636,0.5561658
1.4754674,1.9223417,1.5080192,1.8776805,2.4819887,2.2030294,5.465474,6.0030494,2.0002854,0.18984488,0.14655279,0.26446515,1.8174331
2.0897887,2.7349129,2.35877,2.8287845,3.8286698,3.1998155,8.277227,8.763512,3.0011134,-0.02772563,0.20092447,0.4951875,3.3686824
2.682839,3.6560907,3.3886058,3.7668972,5.550284,4.1415596,11.621736,11.564541,4.000285,0.13208374,0.29627264,0.5618974,5.0584917
3.6162624,4.634141,4.10657,4.5844088,7.5096707,4.7758923,15.232502,13.994439,5.000824,-0.063884094,0.44513327,0.42405808,6.8776712
4.352179,5.7794385,5.0537033,5.612644,9.018784,5.527511,18.42466,16.919603,6.0007467,0.16299024,0.12293397,0.92672443,8.684327
5.0170984,6.557517,5.958686,6.484588,10.71112,6.4954076,21.6869,19.537518,7.0002327,0.06765445,0.263782,0.54173756,10.46066
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
8.933844,350,3.566717,0.5697602,32,40L,40L,8.0L,2.0
